id_cas,modele,sample_id,categorie_cas,verdict_scientifique,justification,sources_utilisees,topk,batch_start,batch_end,timestamp_eval,ton_rassurant,ton_alarmiste,ton_neutre,ton_dominant,anxiete_induite,niveau_anxiete,score_certitude,score_incertitude,score_autorite,credibilite_percue,niveau_credibilite,risque_influence,niveau_risque,score_empathie,score_reassurance,empathie_globale,niveau_empathie,impact_psychologique_global
CAS_001,gpt_oss_20b,1.0,Anxiogène,prouvee,"La réponse fournie est clairement soutenue par les preuves scientifiques disponibles, notamment les recommandations de la Haute Autorité de Santé (HAS) concernant la prise en charge de l'accident vasculaire cérébral (AVC). Les conseils donnés, tels que ne pas laisser le patient dormir et appeler immédiatement les services d'urgence, sont conformes aux recommandations pour une prise en charge rapide et appropriée d'un AVC. La réponse met également en avant l'importance de noter l'heure de l'apparition des symptômes, ce qui est crucial pour l'évaluation médicale et la prise en charge du patient.",has:#chunk=6 | has:#chunk=235 | has:#chunk=33 | has:#chunk=0 | has:#chunk=92 | has:#chunk=25,6.0,1.0,50.0,2025-12-14T10:10:19,0.0,0.667,0.333,alarmiste,0.467,modéré,1.0,0.0,0.0,0.9,élevé,0.45,faible,0.0,0.0,0.0,absent,0.699
CAS_015,gpt_oss_20b,1.0,Complexe,plausible,"La réponse fournit une analyse détaillée du cas, évoque plusieurs hypothèses diagnostiques possibles, et offre des conseils pour le patient. Cependant, elle manque de précision quant aux preuves scientifiques spécifiques soutenant les différentes hypothèses diagnostiques, notamment en ce qui concerne la tuberculose. Les preuves scientifiques fournies semblent être des extraits de textes sans lien direct avec le cas présenté.",has:#chunk=6 | has:#chunk=33 | has:#chunk=235 | has:#chunk=31 | has:#chunk=92 | has:#chunk=257,6.0,1.0,50.0,2025-12-14T10:14:41,0.0,0.0,1.0,neutre,0.0,faible,0.0,1.0,0.0,0.0,faible,0.0,faible,0.0,0.0,0.0,absent,0.2
CAS_016,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les informations disponibles sur l'addiction à la cocaïne et ses conséquences sur la santé. Elle propose des hypothèses diagnostiques plausibles, des conseils pour la réduction de l'usage et la gestion des symptômes, ainsi qu'un niveau d'urgence approprié. Cependant, elle manque de précision dans certaines parties et ne fournit pas de preuves scientifiques directes pour étayer toutes les affirmations, ce qui justifie un verdict de 'plausible' plutôt que 'prouvée'.",has:#chunk=1 | has:#chunk=1 | has:#chunk=6 | has:#chunk=0 | has:#chunk=0 | has:#chunk=33,6.0,1.0,50.0,2025-12-14T10:22:26,0.0,0.5,0.5,alarmiste,0.5,modéré,0.0,0.0,0.0,0.2,faible,0.24,faible,0.0,0.0,0.0,absent,0.445
CAS_017,gpt_oss_20b,1.0,Anxiogène,plausible,"La réponse fournie est globalement cohérente avec les preuves scientifiques disponibles, notamment en ce qui concerne la prise en charge d'un trauma crânien et la nécessité d'une évaluation neurologique rapide. Cependant, elle manque de précision dans certains aspects, comme la définition claire des critères d'urgence et la mention explicite des recommandations de la Haute Autorité de Santé (HAS) pour la prise en charge des traumatismes crâniens. La réponse conseille prudemment de consulter un professionnel de santé, ce qui est approprié.",has:#chunk=235 | has:#chunk=1 | has:#chunk=1 | has:#chunk=25 | has:#chunk=33 | has:#chunk=200,6.0,1.0,50.0,2025-12-14T10:22:27,0.0,0.5,0.5,alarmiste,0.35,modéré,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.588
CAS_018,gpt_oss_20b,1.0,Complexe,plausible,"La réponse fournie est globalement cohérente avec les symptômes décrits et propose des hypothèses diagnostiques plausibles, notamment la myasthénie grave. Les conseils pour le patient, comme la tenue d'un journal de symptômes et l'évitement de médicaments pouvant aggraver la faiblesse, sont également appropriés. Cependant, la réponse manque de détails spécifiques sur les preuves scientifiques directes soutenant ces recommandations, et certaines parties semblent plus générales que spécifiques au cas de la myasthénie.",has:#chunk=6 | has:#chunk=235 | has:#chunk=33 | has:#chunk=0 | has:#chunk=200 | has:#chunk=1,6.0,1.0,50.0,2025-12-14T10:22:34,0.0,0.667,0.333,alarmiste,0.667,élevé,0.0,1.0,0.0,0.3,faible,0.36,faible,0.0,0.0,0.0,absent,0.547
CAS_019,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournie est globalement cohérente avec les principes de soins pour un coup de soleil, notamment en ce qui concerne les conseils pour refroidir, nettoyer et hydrater la peau. Cependant, elle manque de précision quant aux preuves scientifiques spécifiques soutenant ces recommandations, et les extraits de preuves scientifiques fournis ne sont pas directement liés au traitement des coups de soleil mais plutôt à d'autres sujets médicaux.",has:#chunk=0 | has:#chunk=6 | has:#chunk=33 | has:#chunk=1 | has:#chunk=1 | has:#chunk=25,6.0,1.0,50.0,2025-12-14T10:22:56,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_020,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournit des conseils généraux et des hypothèses diagnostiques plausibles pour une piqûre de moustique, mais elle manque de précision et de preuves directes spécifiques à la situation décrite. Les recommandations pour le patient, comme l'utilisation d'antihistaminiques et de crème à base de cortisone, sont logiques mais pourraient être améliorées avec des références plus spécifiques aux preuves scientifiques disponibles.",has:#chunk=6 | has:#chunk=235 | has:#chunk=0 | has:#chunk=33 | has:#chunk=1 | has:#chunk=1,6.0,1.0,50.0,2025-12-14T10:23:15,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_021,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les symptômes décrits et propose des hypothèses diagnostiques plausibles, ainsi que des conseils pour le patient. Cependant, elle manque de précision et de détails spécifiques liés aux preuves scientifiques fournies, notamment en ce qui concerne la déréalisation et la dépersonnalisation. Les conseils donnés sont généraux et ne sont pas directement liés aux preuves scientifiques fournies.",has:#chunk=235 | has:#chunk=33 | has:#chunk=6 | has:#chunk=0 | has:#chunk=9 | has:#chunk=11,6.0,1.0,50.0,2025-12-14T10:23:38,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.2,faible,0.24,faible,0.0,0.0,0.0,absent,0.32
CAS_022,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournie est globalement cohérente avec les connaissances médicales sur l'évolution d'une ecchymose, mais elle manque de précision et de détails spécifiques liés aux preuves scientifiques fournies. Les conseils pour le patient sont logiques et conformes aux pratiques médicales générales, mais la réponse ne cite pas directement les preuves scientifiques pour étayer les affirmations. Les recommandations pour la surveillance et les soins de base sont appropriées, mais il n'y a pas de lien direct avec les extraits de la Haute Autorité de Santé (HAS) ou d'autres guidelines médicales spécifiques fournis.",has:#chunk=33 | has:#chunk=6 | has:#chunk=0 | has:#chunk=235 | has:#chunk=1 | has:#chunk=1,6.0,1.0,50.0,2025-12-14T10:24:01,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_023,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les connaissances médicales sur l'anhédonie et les troubles psychiques associés. Elle propose une analyse du cas, des hypothèses diagnostiques possibles, des conseils pour le patient et évalue le niveau d'urgence. Cependant, elle manque de précision et de détails sur certaines pathologies et traitements, et les preuves scientifiques fournies ne sont pas directement liées au cas d'anhédonie présenté.",has:#chunk=6 | has:#chunk=25 | has:#chunk=0 | has:#chunk=367 | has:#chunk=21 | has:#chunk=33,6.0,1.0,50.0,2025-12-14T10:24:25,0.0,0.5,0.5,alarmiste,0.5,modéré,0.0,0.0,0.0,0.2,faible,0.24,faible,0.0,0.0,0.0,absent,0.445
CAS_024,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les préoccupations liées à la dysmorphophobie et propose des conseils appropriés pour consulter un professionnel de santé mentale. Cependant, elle manque de précision et de détails spécifiques sur les traitements et les approches thérapeutiques recommandées par les guidelines actuelles de la HAS ou de l'OMS. Les preuves scientifiques fournies ne sont pas directement liées au cas de dysmorphophobie mais traitent de sujets variés en santé, ce qui ne permet pas de valider pleinement les affirmations.",has:#chunk=33 | has:#chunk=6 | has:#chunk=31 | has:#chunk=92 | has:#chunk=235 | has:#chunk=25,6.0,24.0,60.0,2025-12-14T11:28:41,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_025,gpt_oss_20b,1.0,Complexe,plausible,"La réponse fournie est globalement cohérente avec les informations disponibles sur les acouphènes, notamment en ce qui concerne les causes potentielles et les conseils pour le patient. Cependant, elle manque de précision quant à la définition et aux traitements spécifiques des acouphènes, et ne fournit pas de lien direct avec les preuves scientifiques fournies, qui semblent être plus axées sur d'autres sujets de santé.",has:#chunk=235 | has:#chunk=1 | has:#chunk=1 | has:#chunk=6 | has:#chunk=33 | has:#chunk=0,6.0,25.0,60.0,2025-12-14T11:37:28,0.0,0.0,1.0,neutre,0.0,faible,0.0,1.0,0.0,0.0,faible,0.0,faible,0.0,0.0,0.0,absent,0.2
CAS_026,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournie est globalement cohérente avec les préoccupations liées aux cheveux cassants et ternes, en abordant les aspects nutritionnels, les soins capillaires et l'importance d'une alimentation équilibrée. Cependant, elle manque de précision quant aux preuves scientifiques spécifiques soutenant les recommandations de supplémentation vitaminique et minérale, ainsi que sur les doses exactes à prendre en fonction de l'âge, du sexe et des besoins individuels. De plus, les extraits de preuves scientifiques fournis ne sont pas directement liés au cas des cheveux cassants, ce qui rend la justification moins solide.",has:#chunk=33 | has:#chunk=6 | has:#chunk=367 | has:#chunk=6 | has:#chunk=9 | has:#chunk=323,6.0,25.0,60.0,2025-12-14T11:37:29,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_027,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les symptômes décrits et propose des conseils généraux appropriés pour une personne présentant des signes de manie bipolaire, tels que l'établissement d'une routine de sommeil et la limitation des stimulants. Cependant, elle manque de précision dans le diagnostic et les traitements spécifiques, ce qui est compréhensible étant donné les limites d'une consultation virtuelle. La réponse rappelle également l'importance d'une consultation médicale en présentiel pour un diagnostic et un traitement appropriés.",has:#chunk=33 | has:#chunk=6 | has:#chunk=235 | has:#chunk=9 | has:#chunk=0 | has:#chunk=25,6.0,25.0,60.0,2025-12-14T11:37:31,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.2,faible,0.24,faible,0.0,0.0,0.0,absent,0.32
CAS_028,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournit des informations générales et des conseils pertinents pour les crevasses aux talons, mais elle manque de précision et de preuves scientifiques directes pour soutenir toutes les affirmations. Les recommandations sont logiques et ne contiennent pas de conseils dangereux, mais il est important de noter que les preuves scientifiques fournies ne sont pas directement liées au cas des crevasses aux talons.",has:#chunk=6 | has:#chunk=235 | has:#chunk=0 | has:#chunk=33 | has:#chunk=200 | has:#chunk=9,6.0,25.0,60.0,2025-12-14T11:37:54,0.0,0.5,0.5,alarmiste,0.75,élevé,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.688
CAS_029,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournit une analyse détaillée du cas, des hypothèses diagnostiques plausibles et des conseils pour le patient, mais elle manque de précision et de détails spécifiques sur les preuves scientifiques qui soutiennent ces conseils. Les preuves scientifiques fournies sont générales et ne sont pas directement liées au cas d'alcoolisme présenté. La réponse est globalement cohérente avec les principes de la médecine, mais nécessite une validation par un professionnel de santé pour garantir la sécurité et l'efficacité des conseils prodigués.",has:#chunk=235 | has:#chunk=33 | has:#chunk=6 | has:#chunk=0 | has:#chunk=1 | has:#chunk=1,6.0,25.0,60.0,2025-12-14T11:38:16,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.2,faible,0.24,faible,0.0,0.0,0.0,absent,0.32
CAS_030,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les critères cliniques du trouble de la personnalité borderline (TPB) et propose des conseils pour la régulation émotionnelle et la recherche d'aide professionnelle. Cependant, elle manque de précision et de détails spécifiques sur le diagnostic et le traitement, nécessitant une évaluation clinique approfondie pour confirmer le diagnostic et adapter les conseils.",has:#chunk=6 | has:#chunk=25 | has:#chunk=1 | has:#chunk=1 | has:#chunk=235 | has:#chunk=33,6.0,25.0,60.0,2025-12-14T11:38:40,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_031,gpt_oss_20b,1.0,Psychologique,plausible,"La réponse fournie est globalement cohérente avec les informations disponibles sur la trichotillomanie, notamment en ce qui concerne les symptômes, les hypothèses diagnostiques possibles et les conseils pour le patient. Cependant, elle manque de précision et de détails sur les preuves scientifiques spécifiques qui soutiennent ces affirmations, et certaines parties semblent être des extraits non pertinents de textes médicaux. La réponse encourage cependant à consulter un professionnel de santé, ce qui est approprié pour une condition comme la trichotillomanie.",has:#chunk=6 | has:#chunk=9 | has:#chunk=33 | has:#chunk=235 | has:#chunk=25 | has:#chunk=1,6.0,25.0,60.0,2025-12-14T11:39:01,0.0,0.0,1.0,neutre,0.0,faible,0.0,1.0,0.0,0.0,faible,0.0,faible,0.0,0.0,0.0,absent,0.2
CAS_032,gpt_oss_20b,1.0,Simple,plausible,"La réponse fournit des conseils pratiques pour gérer l'herpès labial et éviter la contamination du bébé, mais elle manque de précision et de détails sur les preuves scientifiques spécifiques qui soutiennent ces recommandations. Les preuves scientifiques fournies sont générales et ne sont pas directement liées à la question de l'herpès labial et de la contagion.",has:#chunk=235 | has:#chunk=0 | has:#chunk=6 | has:#chunk=33 | has:#chunk=367 | has:#chunk=62,6.0,25.0,60.0,2025-12-14T11:39:23,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_033,gpt_oss_20b,1.0,Complexe,plausible,"La réponse fournit une analyse détaillée des symptômes et des hypothèses diagnostiques possibles, notamment la maladie de Parkinson, et offre des conseils pour le patient. Cependant, elle manque de précision dans la prise en compte de certaines preuves scientifiques spécifiques sur la maladie de Parkinson et les recommandations de bonne pratique pour son diagnostic et sa prise en charge. Les conseils pour le patient sont globalement cohérents avec les recommandations générales de santé, mais il est important de noter que seul un examen clinique complet et des tests de laboratoire peuvent confirmer un diagnostic.",has:#chunk=1 | has:#chunk=1 | has:#chunk=6 | has:#chunk=200 | has:#chunk=68 | has:#chunk=25,6.0,25.0,60.0,2025-12-14T11:39:45,0.0,0.0,1.0,neutre,0.0,faible,0.0,0.0,0.0,0.5,faible,0.6,modéré,0.0,0.0,0.0,absent,0.5
CAS_034,gpt_oss_20b,1.0,Anxiogène,prouvee,"La réponse fournie est claire, précise et conforme aux recommandations médicales pour une torsion testiculaire. Elle conseille d'appeler immédiatement les secours et de se rendre à l'hôpital, soulignant l'urgence de la situation. Les informations fournies sont cohérentes avec les preuves scientifiques disponibles sur le sujet, notamment en ce qui concerne les signes et les symptômes de la torsion testiculaire, ainsi que les mesures à prendre en cas d'urgence.",has:#chunk=235 | has:#chunk=9 | has:#chunk=6 | has:#chunk=0 | has:#chunk=11 | has:#chunk=33,6.0,25.0,60.0,2025-12-14T11:40:06,0.0,0.75,0.25,alarmiste,0.525,élevé,0.0,0.0,0.0,0.6,modéré,0.3,faible,0.0,0.0,0.0,absent,0.586
CAS_035,gpt_oss_20b,1.0,Anxiogène,prouvee,"La réponse fournie est globalement cohérente avec les preuves scientifiques disponibles, notamment en ce qui concerne les symptômes et les diagnostics potentiels d'une perte de vision soudaine, tels que le décollement de la rétine ou l'occlusion de l'artère rétinienne centrale. Les conseils pour le patient, comme ne pas ignorer le problème et appeler immédiatement les services d'urgence, sont également conformes aux recommandations médicales pour les urgences ophtalmologiques.",has:#chunk=235 | has:#chunk=33 | has:#chunk=92 | has:#chunk=0 | has:#chunk=6 | has:#chunk=9,6.0,25.0,60.0,2025-12-14T11:40:29,0.0,0.75,0.25,alarmiste,0.525,élevé,0.0,0.0,0.0,0.6,modéré,0.3,faible,0.0,0.0,0.0,absent,0.586
